Yr,Mon,Dy,Pior_2_High,Prior_1_High,TempHighF,Estimate,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Hist_Avg_High
2016,1,1,57,53,48,51,1,0,0,0,0,0,0,52
2016,1,2,53,48,47,51,0,1,0,0,0,0,0,48
2016,1,3,48,47,62,64,0,0,1,0,0,0,0,61
2016,1,4,47,62,58,56,0,0,0,1,0,0,0,60
2016,1,5,62,58,56,57,0,0,0,0,1,0,0,56
2016,1,6,58,56,53,48,0,0,0,0,0,1,0,53
2016,1,7,56,53,73,49,0,0,0,0,0,0,1,57
2016,1,8,53,73,66,50,1,0,0,0,0,0,0,52
2016,1,9,73,66,58,49,0,1,0,0,0,0,0,55
2016,1,10,66,58,50,53,0,0,1,0,0,0,0,53
2016,1,11,58,50,56,70,0,0,0,1,0,0,0,60
2016,1,12,50,56,66,50,0,0,0,0,1,0,0,60
2016,1,13,56,66,66,50,0,0,0,0,0,1,0,60
2016,1,14,66,66,70,58,0,0,0,0,0,0,1,62
2016,1,15,66,70,70,66,1,0,0,0,0,0,0,64
2016,1,16,70,70,64,75,0,1,0,0,0,0,0,67
2016,1,17,70,64,57,55,0,0,1,0,0,0,0,63
2016,1,18,64,57,59,68,0,0,0,1,0,0,0,67
2016,1,19,57,59,69,81,0,0,0,0,1,0,0,72
2016,1,20,59,69,57,78,0,0,0,0,0,1,0,73
2016,1,21,69,57,64,52,0,0,0,0,0,0,1,61
2016,1,22,57,64,54,57,1,0,0,0,0,0,0,59
2016,1,23,64,54,57,48,0,1,0,0,0,0,0,55
2016,1,24,54,57,70,50,0,0,1,0,0,0,0,58
2016,1,25,57,70,75,63,0,0,0,1,0,0,0,73
2016,1,26,70,75,58,76,0,0,0,0,1,0,0,69
2016,1,27,75,58,59,74,0,0,0,0,0,1,0,67
2016,1,28,58,59,71,58,0,0,0,0,0,0,1,64
2016,1,29,59,71,76,74,1,0,0,0,0,0,0,68
2016,1,30,71,76,77,76,0,1,0,0,0,0,0,67
2016,1,31,76,77,86,83,0,0,1,0,0,0,0,76
2016,2,1,77,86,77,78,0,0,0,1,0,0,0,75
2016,2,2,86,77,72,64,0,0,0,0,1,0,0,59
2016,2,3,77,72,58,54,0,0,0,0,0,1,0,49
2016,2,4,72,58,59,64,0,0,0,0,0,0,1,59
2016,2,5,58,59,62,53,1,0,0,0,0,0,0,54
2016,2,6,59,62,60,43,0,1,0,0,0,0,0,51
2016,2,7,62,60,68,51,0,0,1,0,0,0,0,58
2016,2,8,60,68,65,63,0,0,0,1,0,0,0,69
2016,2,9,68,65,74,84,0,0,0,0,1,0,0,78
2016,2,10,65,74,74,78,0,0,0,0,0,1,0,72
2016,2,11,74,74,83,64,0,0,0,0,0,0,1,66
2016,2,12,74,83,79,57,1,0,0,0,0,0,0,66
2016,2,13,83,79,75,63,0,1,0,0,0,0,0,71
2016,2,14,79,75,75,87,0,0,1,0,0,0,0,80
2016,2,15,75,75,74,68,0,0,0,1,0,0,0,73
2016,2,16,75,74,82,66,0,0,0,0,1,0,0,75
2016,2,17,74,82,75,77,0,0,0,0,0,1,0,70
2016,2,18,82,75,79,71,0,0,0,0,0,0,1,76
2016,2,19,75,79,81,85,1,0,0,0,0,0,0,78
2016,2,20,79,81,76,77,0,1,0,0,0,0,0,78
2016,2,21,81,76,71,78,0,0,1,0,0,0,0,74
2016,2,22,76,71,72,74,0,0,0,1,0,0,0,68
2016,2,23,71,72,61,68,0,0,0,0,1,0,0,61
2016,2,24,72,61,65,50,0,0,0,0,0,1,0,59
2016,2,25,61,65,69,71,0,0,0,0,0,0,1,68
2016,2,26,65,69,64,59,1,0,0,0,0,0,0,56
2016,2,27,69,64,73,53,0,1,0,0,0,0,0,56
2016,2,28,64,73,78,56,0,0,1,0,0,0,0,65
2016,2,29,73,78,77,82,0,0,0,1,0,0,0,77
2016,3,1,78,77,81,78,0,0,0,0,1,0,0,69
2016,3,2,77,81,78,60,0,0,0,0,0,1,0,65
2016,3,3,81,78,83,66,0,0,0,0,0,0,1,64
2016,3,4,78,83,76,75,1,0,0,0,0,0,0,65
2016,3,5,83,76,79,65,0,1,0,0,0,0,0,60
2016,3,6,76,79,77,76,0,0,1,0,0,0,0,66
2016,3,7,79,77,76,75,0,0,0,1,0,0,0,68
2016,3,8,77,76,83,68,0,0,0,0,1,0,0,65
2016,3,9,76,83,71,59,0,0,0,0,0,1,0,61
2016,3,10,83,71,64,66,0,0,0,0,0,0,1,66
2016,3,11,71,64,71,63,1,0,0,0,0,0,0,71
2016,3,12,64,71,74,78,0,1,0,0,0,0,0,72
2016,3,13,71,74,85,82,0,0,1,0,0,0,0,77
2016,3,14,74,85,92,81,0,0,0,1,0,0,0,82
2016,3,15,85,92,92,76,0,0,0,0,1,0,0,78
2016,3,16,92,92,81,76,0,0,0,0,0,1,0,74
2016,3,17,92,81,79,82,0,0,0,0,0,0,1,75
2016,3,18,81,79,79,75,1,0,0,0,0,0,0,81
2016,3,19,79,79,62,75,0,1,0,0,0,0,0,72
2016,3,20,79,62,64,64,0,0,1,0,0,0,0,70
2016,3,21,62,64,68,61,0,0,0,1,0,0,0,70
2016,3,22,64,68,78,74,0,0,0,0,1,0,0,78
2016,3,23,68,78,82,69,0,0,0,0,0,1,0,74
2016,3,24,78,82,70,75,0,0,0,0,0,0,1,73
2016,3,25,82,70,73,69,1,0,0,0,0,0,0,75
2016,3,26,70,73,74,65,0,1,0,0,0,0,0,70
2016,3,27,73,74,74,73,0,0,1,0,0,0,0,79
2016,3,28,74,74,75,88,0,0,0,1,0,0,0,83
2016,3,29,74,75,69,76,0,0,0,0,1,0,0,77
2016,3,30,75,69,77,73,0,0,0,0,0,1,0,79
2016,3,31,69,77,86,83,0,0,0,0,0,0,1,84
2016,4,1,77,86,66,86,1,0,0,0,0,0,0,78
2016,4,2,86,66,74,79,0,1,0,0,0,0,0,80
2016,4,3,66,74,79,84,0,0,1,0,0,0,0,82
2016,4,4,74,79,83,70,0,0,0,1,0,0,0,75
2016,4,5,79,83,82,67,0,0,0,0,1,0,0,72
2016,4,6,83,82,82,83,0,0,0,0,0,1,0,76
2016,4,7,82,82,85,79,0,0,0,0,0,0,1,81
2016,4,8,82,85,80,73,1,0,0,0,0,0,0,79
2016,4,9,85,80,77,82,0,1,0,0,0,0,0,83
2016,4,10,80,77,79,75,0,0,1,0,0,0,0,80
2016,4,11,77,79,89,88,0,0,0,1,0,0,0,81
2016,4,12,79,89,73,74,0,0,0,0,1,0,0,80
2016,4,13,89,73,72,71,0,0,0,0,0,1,0,79
2016,4,14,73,72,77,69,0,0,0,0,0,0,1,76
2016,4,15,72,77,79,84,1,0,0,0,0,0,0,76
2016,4,16,77,79,75,66,0,1,0,0,0,0,0,76
2016,4,17,79,75,78,80,0,0,1,0,0,0,0,73
2016,4,18,75,78,75,69,0,0,0,1,0,0,0,77
2016,4,19,78,75,81,82,0,0,0,0,1,0,0,83
2016,4,20,75,81,81,79,0,0,0,0,0,1,0,76
2016,4,21,81,81,83,83,0,0,0,0,0,0,1,83
2016,4,22,81,83,84,91,1,0,0,0,0,0,0,84
2016,4,23,83,84,83,92,0,1,0,0,0,0,0,85
2016,4,24,84,83,79,94,0,0,1,0,0,0,0,84
2016,4,25,83,79,88,88,0,0,0,1,0,0,0,90
2016,4,26,79,88,86,95,0,0,0,0,1,0,0,86
2016,4,27,88,86,90,90,0,0,0,0,0,1,0,90
2016,4,28,86,90,87,73,0,0,0,0,0,0,1,82
2016,4,29,90,87,84,79,1,0,0,0,0,0,0,82
2016,4,30,87,84,86,88,0,1,0,0,0,0,0,81
2016,5,1,84,86,78,72,0,0,1,0,0,0,0,80
2016,5,2,86,78,70,69,0,0,0,1,0,0,0,79
2016,5,3,78,70,78,85,0,0,0,0,1,0,0,85
2016,5,4,70,78,87,92,0,0,0,0,0,1,0,87
2016,5,5,78,87,89,78,0,0,0,0,0,0,1,88
2016,5,6,87,89,86,84,1,0,0,0,0,0,0,87
2016,5,7,89,86,85,88,0,1,0,0,0,0,0,85
2016,5,8,86,85,73,85,0,0,1,0,0,0,0,79
