Yr,Mon,Dy,Pior_2_High,Prior_1_High,TempHighF,Hist_Avg_High,Estimate
2016,1,1,57,53,48,52,51
2016,1,2,53,48,47,48,51
2016,1,3,48,47,62,61,64
2016,1,4,47,62,58,60,56
2016,1,5,62,58,56,56,57
2016,1,6,58,56,53,53,48
2016,1,7,56,53,73,57,49
2016,1,8,53,73,66,52,50
2016,1,9,73,66,58,55,49
2016,1,10,66,58,50,53,53
2016,1,11,58,50,56,60,70
2016,1,12,50,56,66,60,50
2016,1,13,56,66,66,60,50
2016,1,14,66,66,70,62,58
2016,1,15,66,70,70,64,66
2016,1,16,70,70,64,67,75
2016,1,17,70,64,57,63,55
2016,1,18,64,57,59,67,68
2016,1,19,57,59,69,72,81
2016,1,20,59,69,57,73,78
2016,1,21,69,57,64,61,52
2016,1,22,57,64,54,59,57
2016,1,23,64,54,57,55,48
2016,1,24,54,57,70,58,50
2016,1,25,57,70,75,73,63
2016,1,26,70,75,58,69,76
2016,1,27,75,58,59,67,74
2016,1,28,58,59,71,64,58
2016,1,29,59,71,76,68,74
2016,1,30,71,76,77,67,76
2016,1,31,76,77,86,76,83
2016,2,1,77,86,77,75,78
2016,2,2,86,77,72,59,64
2016,2,3,77,72,58,49,54
2016,2,4,72,58,59,59,64
2016,2,5,58,59,62,54,53
2016,2,6,59,62,60,51,43
2016,2,7,62,60,68,58,51
2016,2,8,60,68,65,69,63
2016,2,9,68,65,74,78,84
2016,2,10,65,74,74,72,78
2016,2,11,74,74,83,66,64
2016,2,12,74,83,79,66,57
2016,2,13,83,79,75,71,63
2016,2,14,79,75,75,80,87
2016,2,15,75,75,74,73,68
2016,2,16,75,74,82,75,66
2016,2,17,74,82,75,70,77
2016,2,18,82,75,79,76,71
2016,2,19,75,79,81,78,85
2016,2,20,79,81,76,78,77
2016,2,21,81,76,71,74,78
2016,2,22,76,71,72,68,74
2016,2,23,71,72,61,61,68
2016,2,24,72,61,65,59,50
2016,2,25,61,65,69,68,71
2016,2,26,65,69,64,56,59
2016,2,27,69,64,73,56,53
2016,2,28,64,73,78,65,56
2016,2,29,73,78,77,77,82
2016,3,1,78,77,81,69,78
2016,3,2,77,81,78,65,60
2016,3,3,81,78,83,64,66
2016,3,4,78,83,76,65,75
2016,3,5,83,76,79,60,65
2016,3,6,76,79,77,66,76
2016,3,7,79,77,76,68,75
2016,3,8,77,76,83,65,68
2016,3,9,76,83,71,61,59
2016,3,10,83,71,64,66,66
2016,3,11,71,64,71,71,63
2016,3,12,64,71,74,72,78
2016,3,13,71,74,85,77,82
2016,3,14,74,85,92,82,81
2016,3,15,85,92,92,78,76
2016,3,16,92,92,81,74,76
2016,3,17,92,81,79,75,82
2016,3,18,81,79,79,81,75
2016,3,19,79,79,62,72,75
2016,3,20,79,62,64,70,64
2016,3,21,62,64,68,70,61
2016,3,22,64,68,78,78,74
2016,3,23,68,78,82,74,69
2016,3,24,78,82,70,73,75
2016,3,25,82,70,73,75,69
2016,3,26,70,73,74,70,65
2016,3,27,73,74,74,79,73
2016,3,28,74,74,75,83,88
2016,3,29,74,75,69,77,76
2016,3,30,75,69,77,79,73
2016,3,31,69,77,86,84,83
2016,4,1,77,86,66,78,86
2016,4,2,86,66,74,80,79
2016,4,3,66,74,79,82,84
2016,4,4,74,79,83,75,70
2016,4,5,79,83,82,72,67
2016,4,6,83,82,82,76,83
2016,4,7,82,82,85,81,79
2016,4,8,82,85,80,79,73
2016,4,9,85,80,77,83,82
2016,4,10,80,77,79,80,75
2016,4,11,77,79,89,81,88
2016,4,12,79,89,73,80,74
2016,4,13,89,73,72,79,71
2016,4,14,73,72,77,76,69
2016,4,15,72,77,79,76,84
2016,4,16,77,79,75,76,66
2016,4,17,79,75,78,73,80
2016,4,18,75,78,75,77,69
2016,4,19,78,75,81,83,82
2016,4,20,75,81,81,76,79
2016,4,21,81,81,83,83,83
2016,4,22,81,83,84,84,91
2016,4,23,83,84,83,85,92
2016,4,24,84,83,79,84,94
2016,4,25,83,79,88,90,88
2016,4,26,79,88,86,86,95
2016,4,27,88,86,90,90,90
2016,4,28,86,90,87,82,73
2016,4,29,90,87,84,82,79
2016,4,30,87,84,86,81,88
2016,5,1,84,86,78,80,72
2016,5,2,86,78,70,79,69
2016,5,3,78,70,78,85,85
2016,5,4,70,78,87,87,92
2016,5,5,78,87,89,88,78
2016,5,6,87,89,86,87,84
2016,5,7,89,86,85,85,88
2016,5,8,86,85,73,79,85
2016,5,9,85,73,87,86,85
2016,5,10,73,87,91,90,82
2016,5,11,87,91,87,86,78
2016,5,12,91,87,84,78,74
2016,5,13,87,84,87,75,71
2016,5,14,84,87,81,81,84
2016,5,15,87,81,72,78,70
2016,5,16,81,72,80,84,79
2016,5,17,72,80,82,84,81
2016,5,18,80,82,78,84,74
2016,5,19,82,78,76,84,85
2016,5,20,78,76,83,87,85
2016,5,21,76,83,83,83,76
2016,5,22,83,83,87,84,75
2016,5,23,83,87,85,85,80
2016,5,24,87,85,87,85,86
2016,5,25,85,87,86,85,78
2016,5,26,87,86,90,85,76
2016,5,27,86,90,77,78,68
2016,5,28,90,77,91,87,78
2016,5,29,77,91,88,89,96
2016,5,30,91,88,89,90,92
2016,5,31,88,89,82,87,97
2016,6,1,89,82,87,88,90
